destination,passanger,weather,temperature,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,car,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ5min,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,Accept(Y/N?)
No Urgent Place,Friend(s),Sunny,80,Bar,1d,Male,26,Single,0,Bachelors degree,Sales & Related,$75000 - $87499,,never,never,1~3,4~8,1~3,1,1,0,0,1,0
No Urgent Place,Friend(s),Sunny,55,Bar,2h,Male,26,Single,0,Bachelors degree,Sales & Related,$75000 - $87499,,never,never,1~3,4~8,1~3,1,1,0,0,1,0
No Urgent Place,Friend(s),Sunny,30,Carry out & Take away,2h,Male,26,Single,0,Bachelors degree,Sales & Related,$75000 - $87499,,never,never,1~3,4~8,1~3,1,0,0,0,1,1
No Urgent Place,Friend(s),Snowy,30,Restaurant(<20),1d,Male,26,Single,0,Bachelors degree,Sales & Related,$75000 - $87499,,never,never,1~3,4~8,1~3,1,0,0,0,1,1
No Urgent Place,Alone,Rainy,55,Bar,1d,Male,26,Single,0,Bachelors degree,Sales & Related,$75000 - $87499,,never,never,1~3,4~8,1~3,1,1,0,0,1,0
No Urgent Place,Alone,Sunny,80,Restaurant(<20),2h,Male,26,Single,0,Bachelors degree,Sales & Related,$75000 - $87499,,never,never,1~3,4~8,1~3,1,0,0,0,1,1
No Urgent Place,Partner,Sunny,30,Restaurant(20-50),1d,Male,26,Single,0,Bachelors degree,Sales & Related,$75000 - $87499,,never,never,1~3,4~8,1~3,1,0,0,0,1,1
No Urgent Place,Partner,Rainy,55,Bar,2h,Male,26,Single,0,Bachelors degree,Sales & Related,$75000 - $87499,,never,never,1~3,4~8,1~3,1,1,0,0,1,0
No Urgent Place,Partner,Snowy,30,Restaurant(<20),1d,Male,26,Single,0,Bachelors degree,Sales & Related,$75000 - $87499,,never,never,1~3,4~8,1~3,1,0,0,0,1,1
Home,Alone,Sunny,80,Carry out & Take away,2h,Male,26,Single,0,Bachelors degree,Sales & Related,$75000 - $87499,,never,never,1~3,4~8,1~3,1,1,0,1,0,0
Home,Alone,Sunny,30,Carry out & Take away,1d,Male,26,Single,0,Bachelors degree,Sales & Related,$75000 - $87499,,never,never,1~3,4~8,1~3,1,0,0,0,1,0
Home,Alone,Rainy,55,Coffee House,2h,Male,26,Single,0,Bachelors degree,Sales & Related,$75000 - $87499,,never,never,1~3,4~8,1~3,1,0,0,1,0,0
Home,Alone,Snowy,30,Coffee House,2h,Male,26,Single,0,Bachelors degree,Sales & Related,$75000 - $87499,,never,never,1~3,4~8,1~3,1,1,0,0,1,0
Home,Alone,Sunny,80,Restaurant(20-50),1d,Male,26,Single,0,Bachelors degree,Sales & Related,$75000 - $87499,,never,never,1~3,4~8,1~3,1,0,0,1,0,1
Home,Partner,Sunny,30,Restaurant(<20),1d,Male,26,Single,0,Bachelors degree,Sales & Related,$75000 - $87499,,never,never,1~3,4~8,1~3,1,1,1,0,1,1
Home,Partner,Sunny,30,Restaurant(<20),2h,Male,26,Single,0,Bachelors degree,Sales & Related,$75000 - $87499,,never,never,1~3,4~8,1~3,1,1,0,1,0,0
Home,Partner,Rainy,55,Carry out & Take away,1d,Male,26,Single,0,Bachelors degree,Sales & Related,$75000 - $87499,,never,never,1~3,4~8,1~3,1,0,0,1,0,1
Work,Alone,Rainy,55,Carry out & Take away,1d,Male,26,Single,0,Bachelors degree,Sales & Related,$75000 - $87499,,never,never,1~3,4~8,1~3,1,0,0,0,1,1
Work,Alone,Snowy,30,Coffee House,1d,Male,26,Single,0,Bachelors degree,Sales & Related,$75000 - $87499,,never,never,1~3,4~8,1~3,1,0,0,1,0,0
Work,Alone,Snowy,30,Bar,1d,Male,26,Single,0,Bachelors degree,Sales & Related,$75000 - $87499,,never,never,1~3,4~8,1~3,1,1,1,0,1,0
Work,Alone,Sunny,80,Restaurant(20-50),2h,Male,26,Single,0,Bachelors degree,Sales & Related,$75000 - $87499,,never,never,1~3,4~8,1~3,1,0,0,1,0,0
